name,description,address,email,phone,website,type
Giardino piazza Venezia,"Area giochi bimbi con molle; altalene; combinate con scivoli e arrampicate
attrezzature per lo sport: campo basket; ping-pong; beach volley
superficie 26.600 m2
area recintata per cani con fontana di acqua potabile esterna nelle vicinanze
La vecchia “Piazza d’armi” del progetto Bertamini della seconda metà del secolo scorso prevedeva la realizzazione di un bosco all’inglese; con viali e panchine ad uso di pubblica ricreazione nella parte collinare verso est. La sistemazione a giardino pubblico si consolidò nel corso dagli anni del primo dopoguerra; anche se senza un preciso disegno; e continuò fino alla fine degli anni ’50 con l’erezione del monumento in onore di Alcide Degasperi; opera dello scultore fiorentino Antonio Berti.Il giardino di piazza Venezia è ricco di una vegetazione arborea caratterizzata in massima parte da conifere (cedri; Cepholotaxus; abeti; ecc.) ma anche da latifoglie (robinie; ippocastani; platani; bagolari; catalpe). È stato ristrutturato a partire dalla fine degli anni Novanta con un nuovo disegno dei vialetti; aumentando le superfici a prato e inserendo nella parte centrale nuove piccole alberature da fiore; come le lagerstroemie dai purpurei fiori estivi che donano nuova luminosità al parco. Oggi questo maturo giardino storico è un punto di cesura tra la città consolidata; cioè il centro storico; l’inizio dei quartieri residenziali e l’affaccio al periurbano con la salita di via Venezia verso la collina. Il giardino; che ospita al proprio interno un centro per il tennis; accoglie le maggiori attrezzature (giochi; prati; sport; aree cani) nella parte piana; mentre la soprastante zona alberata è transito verso i percorsi pedonali collinari. Nei primi anni del Duemila il giardino si è arricchito di un giocoso gruppo scultoreo intitolato “il girotondo del bambini” ad opera dell’artista Mauro Staccioli.",ingresso parco: via e piazza venezia; via grazioli,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Ravina Itea,"Area giochi bimbi con molle; altalena; casetta; combinato con due torri; arrampicata; ponte mobile e scivolo
attrezzature per lo sport: ping-pong; campo basket; campo da bocce
superficie 8.300 m2
Il giardino Itea di Ravina cinge un’area di servizi dedicati allo sport ed è limitrofo; oltre che ai campi sportivi locali; anche al piccolo cimitero del paese.
Nel tranquillo sobborgo ricco di verde e di spazi agricoli; evocate anche dalla toponomastica locale (via Filari Longhi; via delle Masere…) il giardino è luogo di incontro e si presta all’organizzazione di eventi e feste di paese. È un luogo di sosta e di relax sulla salita che porta al centro di Ravina; all’ombra di grandi cedri e di latifoglie di più recente impianto ed in continuità con il verde di pertinenza del vicino complesso di alloggi Itea.L’area giochi attrezzata; il campo da basket e le numerose sedute lo rendono fruibile a tutte le età.",via santa marina; via filari longhi ravina,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Cognola Marnighe,Attrezzature: campo da basket,via masetti cognola,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Martignano o Carlo Firmian,"Area giochi bimbi con molle; altalene; combinati con torri; scivoli; ponte mobile; arrampicate; doppio tunnel
attrezzature per lo sport: campo basket / volley
superficie 12.300 m2
giardino fornito da area cani con fontana acqua potabile.
In un contesto di grande valore paesaggistico ed agricolo; essendo caratterizzato da dolci terrazzamenti dedicati alla coltivazione di vite; il giardino costituisce un cuneo a destinazione urbana; prolungandone gli usi legati al tempo libero lungo una viabilità storica direttamente connessa con il nucleo antico di Martignano.Il giardino; completato nell’anno 2004; è stato organizzato in due parti: quella verso il paese; a geometria rigida; che dispone di un’ampia pergola e di un prato circolare attrezzato per concerti e feste oltre che per il gioco e lo sport; ed una pseudonaturale; con brevi macchie di caducifoglie autoctone tra le quali serpeggia un corso d’acqua recuperato da una antica roggia interrata; sullo sfondo delle pendici del monte Calisio.",via dell'albera; via di maderno; via ai camillastri martignano,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Area S. Donà biblioteca,Attrezzature: area giochi bambini; campo basket (un canestro); campo calcetto (una orta). Divieto di accesso ai cani.,s. donà; cognola,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Maria de Unterrichter (ex via Einaudi),Attrezzature: area giochi bimbi; campo basket (sintetico)Giardino con divieto di accesso ai cani.,accesso da via einaudi,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Ines Pisoni (via Palermo),"Attrezzature: giochi per bambini; campo da pallavolo (sabbia); ping pong
Divieto di accesso ai cani",ingresso giardino da via palermo; via marsala,ufficio.verde@comune.trento.it,,portale cartografico comunale,parco / giardino
Parco di Melta,"Area giochi bimbi (tre ampie aree gioco) con molle; palestrina; sculture in legno; casette; bilanciere a 4 posti; altalene; giochi a rete; combinato con arrampicate; combinato con scivoli; giostra a sospensione; teleferica
attrezzature per lo sport: campo basket-volley-calcetto libero; due campi da calcio; ping-pong; una pista da roller di 1;2 km di lunghezza
superficie 110.000 m2
area recintata per cani (5 fontane acqua potabile nel parco)
Il parco di Melta rappresenta uno dei più recenti e completi esempi di parco paesaggistico moderno del Trentino; al contempo una scommessa progettuale; sociale e urbanistica. Frutto di un ambizioso progetto di recupero urbanistico durato diversi anni e progettato da tecnici interni all’Amministrazione; Melta è un luogo del quale non ci si stanca mai: nonostante il soundscape della tangenziale; destinato ad attutirsi con il passare del tempo e al crescere della vegetazione; il parco offre al suo interno mille spazi nascosti; mille scorci; mille tocchi progettuali che lo rendono un luogo da esplorare e da vivere; da riscoprire ogni volta.
Tantissime le specie vegetali – quasi cinquecento alberi e migliaia tra piante e arbusti – con una vegetazione palustre così ricca da offrire rifugio alla nidificazione di uccelli acquatici fino alle macchie di piante autoctone; alle moderne composizioni di piante perenni; alle bordure; alle tante alberate mai inserite casualmente.Pregevole è la struttura progettuale che si sviluppa su più livelli; con alzate e passerelle; ponti; sottopassi tubolari in acciaio; curve dalle forme organiche; tettoie e pergolati; piste per biciclette e per pattinatori; sentieri in ghiaino e tanti prati con pedane per la sosta e angoli nascosti; magari protetti da un salice piangente sulle rive dell’ampio lago ricavato dal recupero di acque di drenaggio. È un luogo ricco e innovativo; capace di nascondere al suo interno un’area ristoro sul lago e dei campi sportivi; inseriti in un anfiteatro con tanto di gradinate inerbite.Un parco finalmente moderno; in comunicazione con la città e che sarà capace di mantenere ed evolvere la sua identità resistendo alla prova del tempo. Da visitare!",ingresso parco da via centochiavi; via 25 aprile; via 4 novembre,,,,parco / giardino
Area campo calcio Baselga del Bondone,Area verde. Attrezzature: campo calcetto; campo pallavolo.,strada del dos gariol baselga del bondone,,,,parco / giardino
Area comunale Sopramonte campo sportivo,Campo calcetto,via di mura sopramonte,,,,parco / giardino
Parco naturale di Candriai,"Area giochi bimbi con altalene; girotondo a rete; teleferica; combinato con tre torri; scivolo; ponte mobile e arrampicata
attrezzature per lo sport: ping-pong; campo basket; calcetto e campo da calcio in erba; libero
superficie 55.000 m2
Candriai appartiene al Bondone e alla città: un’estesa area di seconde case; un riferimento importante per le “colonie” giovanili di tante realtà associative e religiose; tra boschi e malghe; alcune recuperate ad usi pubblici. Il parco Cesana prende forma grazie ad un progetto per la valorizzazione turistica ed ambientale promosso della Provincia di Trento e dell’Agenzia del Lavoro a partire dal 1989; in collaborazione con il Comune.Sui terreni un tempo destinati al pascolo della Malga di Candriai tra i vasti prati circondati da abetaie; tavoli e panchine; giochi per i bambini offrono le condizioni ottimali per sfuggire all’afa della città e la possibilità di organizzare attività ricreative sfruttando anche il campo da calcio di cui è dotato il parco.",via per cesana candriai; strada di candriai,,,,parco / giardino
Parco del Cimirlo,È al servizio delle urbanizzazioni del Cimirlo. Il parco comprende una zona sportiva e ricreativa e una zona a bosco. Attrezzature: campo basket; campo bocce; campo calcetto; campo tennis; ping pong,,,,,parco / giardino
Giardino palazzo Sardagna,Attrezzature: area giochi bambini; percorso salute; ping pong. Divieto di accesso ai cani.,meano,,,,parco / giardino
Passeggiata roste Adige e Adigetto,Attrezzature: percorso vita,trento,,,,parco / giardino
Parco di Gocciadoro,"Giochi bimbi con molle; altalene; combinati con ponte mobile; scivoli; arrampicata in diverse stazioni
attrezzature per lo sport: ping-pong; campo volley; percorso salute a sei stazioni
superficie 202.000 m2
zona recintata per cani con fontana acqua potabile.
Se si vogliono cercare gnomi e folletti in città; il parco di Gocciadoro è il posto dove andare. Qui non si sentirà il rumore delle automobili ma un concerto di cinguettii e il rumore dell’acqua del torrente Salè.
La quasi totalità del parco risulta di proprietà comunale dal 1922; per effetto della acquisizione del fondo agricolo Bernardelli; ove si coltivava il vitigno Goccia d’Oro.
Da allora e fino ad oggi si sono succeduti ampliamenti ed acquisizioni che hanno permesso di ampliare la superficie del parco a più di 35 ha: la speranza è quella di poterlo estendere ancora verso le zone naturali che salgono verso la collina dove è possibile incontrare i resti del castello di Pietrapiana.
Gocciadoro è l’unica area verde che per tradizione è sempre stata considerata parco di città; in particolare nelle sue parti più vicine alla città e alla fermata della ferrovia della Valsugana; dietro l’ospedale.
Un’ampia strada interna accompagna tra radure e boschi; lungo il rio Salè; fino al Villaggio del fanciullo SOS; una struttura di accoglienza molto importante per la città. Nel parco la chiesetta ottagonale di S. Adalberto; di recente restaurata; i resti di un vicino maso ed una preziosa Torresela di origine settecentesca; utile durante la stagione delle vendemmie dell’uva gialla che dà nome al parco.
Il parco; zona speciale di conservazione di importanza comunitaria; conserva otto habitat e una ricca biodiversità vegetale autoctona e non: carpino bianco; carpino nero; orniello; frassino; quercia farnia; abete bianco; abete rosso; tasso; tiglio; faggio; cedro; acero; acero campestre; olmo; ontano; pino nero; platano; ippocastano; rovere; roverella;bagolaro; robinia; Ginkgo biloba e castagni.Particolarmente suggestive anche le pareti dilavate di tufi basaltici formati dalla cementazione di frammenti di origine vulcanica all’ingresso; lungo la strada in riva sinistra del rio. L’antichità delle rocce affioranti e della vegetazione; nonché l’estensione dell’area; hanno permesso a Gocciadoro di diventare l’area verde cittadina più ricca di specie animali stanziali e migratorie.",ingresso parco da via vicenza; via sartori; via asiago; via gmeiner; via gocciadoro,,,,parco / giardino
English (United Kingdom)  German  Palazzo Sardagna,"II corpo centrale; con le due sale al piano terreno affrescate da Marcello Fogolino; era già edificato nel primo Cinquecento ed oggi ospita il Rettorato dell'Università degli Studi di Trento. 
Ma l'edificio assunse le forme attuali nel XVII secolo quando; con l'unione di diversi corpi di fabbrica; vennero rimodellate le due facciate esterne e i loggiati del cortile. I tre putti reggistemma che coronano il balcone; sopra l'imponente portale sorretto da telamoni; sono opere settecentesche dello scultore Cristoforo Benedetti da Castione.Ph: Giovanni Cavulli",via calepina 14; 38122 trento,,,,edificio storico
Parco naturale delle Coste,"Area giochi bimbi con molle; altalena; bilanciere; casetta; palafitta con scivolo e arrampicata; scivolo; altalena a cesto; capanne; sculture in legno; teleferica; sabbiera
attrezzature per lo sport: ping-pong
superficie 47.800 m2
Una ricca diversità floristica spontanea contraddistingue questo parco collinare con caratteristiche di elevata naturalità. Si tratta di uno dei parchi più grandi di Trento; interamente ricavato da una vecchia cava e localizzato sulla collina dell’Argentario; alle pendici del Calisio; in una posizione soleggiata che offre una splendida vista sulla città. Nel parco; oltre ad un piccolo laghetto; esistono tre zone attrezzate per i giochi dei bambini alle quali si può accedere precorrendo strade e sentieri nei boschetti di aceri; tigli; prugnoli; frassini; ornielli e cornioli che si intervallano a bei prati attrezzati con sedute.
Interessanti ma sempre rispettosi del contesto gli inserimenti botanici ornamentali; come il non comune viale alberato con Pterocarya; una piccola macchia di particolari aceri rossi nordamericani e i noccioli di Costantinopoli che ben si accordano con querce; bagolari; olmi e qualche castagno.
Spiccano inoltre delle formazioni rocciose calcaree che ricordano l’importanza mineraria – fin dall’epoca preromana – dell’Argentario e che offrono il toponimo a questa parte della collina di Trento; le cosiddette “laste”; ovvero lastroni di pietra locale utilizzati per segnare i confini delle proprietà agricole. Nel parco le rocce dell’antica cava formano delle belle pareti a vista solcate da sentieri sopraelevati; collegati in un punto da un pregevole arco in pietra.È stato allestito sul posto; su iniziativa della circoscrizione locale e di un istituto tecnico; anche un interessante “sentiero comunitario” organizzato in 15 stazioni che offre spunti di riflessione e informazioni sul parco attraverso il sistema dei QRCode.",ingresso parco da via alle coste (con ampio parcheggio) e da via marnighe,,,,parco / giardino
Parco di San Rocco,"Area giochi bimbi con molle; altalene; combinato con scivolo e arrampicate
attrezzature per lo sport: campi da basket e pallavolo; ping pong
superficie 7.300 m2
divieto di accesso ai cani
Il giardino nel sobborgo di San Rocco di Villazzano; con i suoi oltre 7000 metri quadrati di verde pubblico; ben attrezzati per lo sport e il gioco; costituisce un importante spazio di socializzazione per gli abitanti del borgo e per i cittadini di passaggio.È strategica infatti la sua posizione; ben inserita nel sistema del verde della città e vero e proprio punto di partenza verso la visita al Bosco della Città e per le numerose passeggiate che esplorano la collina fino ai Bindesi e alle pendici boscate della Marzola. La vegetazione del giardino è composta da alberi – peri; carpini; parrozie; ciliegi da fiore; albero dei tulipani; sofora pendula – e arbusti da fiore – ibisco; ortensia villosa; callicarpa – che regalano bacche e fioriture fin da prima della primavera e poi per tutta l’estate. Nei recenti lavori di realizzazione è stato mantenuto un antico muro a secco che divide il classico giardino urbano di tipo tradizionale dallo spazio; a sud; per attività ludiche e ricreative.",via galassa; via san rocco,,,,parco / giardino
Parco naturale del Doss Trento,"Attrezzature: punti di sosta. Divieto di accesso ai cani in zona Mausoleo
superficie 17.000 m2 (154.000 m2 l’intero dosso)
All'interno del parco ci sono il Museo Nazionale Storico delle Truppe Alpine; il Mausoleo di Cesare Battisti e un sito archeologico (Basilica Paleo Cristiana).Per dettagliate informazioni storiche vedi la sezione turismo-visitare natura 
Caratteristico colle rotondo che affaccia sulla città; il Dòss Trento è un importante parco periurbano ricco di significati e particolarità non solo naturali e paesaggistiche; ma anche storico architettoniche; simboliche e ricreative.
Questo rilievo di origine glaciale accolse i primi insediamenti umani già in epoca preistorica e protostorica e oggi; tra le radure e le macchie boscate; sono oggi visibili i resti di una chiesa paleocristiana ma anche le tracce di utilizzo militare di un luogo strategico; di cui si narra anche nel Museo Storico degli Alpini ospitato nel parco.
Tra le due guerre il colle venne scelto per la costruzione del mausoleo alla memoria dell’irredentista Cesare Battisti; che oggi domina la città con le sue bianche colonne di marmo ma che fu oggetto di controversi dibattiti prima di essere inaugurato nel 1935. Le due principali strade di accesso (“tagliate” nella roccia dalle divisioni alpine) incrociano piacevoli sentieri pedonali; con terrazze; scalinate e rampe recuperate all’inizio di questo secolo. 
Il valore naturalistico dell’area è oggetto di importanti tutele: infatti alla tipica formazione forestale termofila di ornielli; carpini e roverelle si accompagnano specie botaniche assai rare; testimonianze viventi di antichi climi più caldi dell’attuale e di diverse comunità
botaniche; da quelle dei climi temperati (come il terebinto; la marruca; l’albero di Giuda; la Colutea arborescens e la rara Opuntia vulgaris; parente dei fichi d’india) fino a quelle rappresentative dei prati e delle steppe alpine; come le orchidee selvatiche; l’esile liliacea
Fritillaria tenella e l’Ephedra distachya.Il visitatore – che salga in auto; a piedi o in bicicletta – godrà inoltre di una bellissima vista della città (da qui furono realizzate le più importanti mappe antiche); di freschi boschetti e radure assolate e troverà servizi ed esaustivi pannelli per apprezzare appieno questa tappa obbligata degli itinerari cittadini.",via doss trento; piazzale divisioni alpine; via brescia,,,,parco / giardino
Giardino di piazza Centa,"Una grande farfalla blu per l’arrampicata; un’altalena pentagonale con diversi tipi di sedute e un trampolino per saltare sono solo alcuni dei giochi con cui bambini e ragazzi si possono divertire in un’area completamente nuova con pavimentazione anti-trauma in gomma blu. Il colore è stato scelto per ricordare la presenza della piscina austroungarica realizzata intorno al 1870 e ritrovata durante i lavori per la realizzazione del parcheggio pertinenziale. 
L’area giochi prevede anche uno spazio verde; dove sono installati altri giochi per l’equilibrio e una pedana tonda in legno per la pratica dello yoga o la rappresentazione di piccoli spettacoli. Sul lato nord-est del giardino sono collocati i giochi per i più grandi con l’attrezzatura per l’attività sportiva; composta da una sequenza di spalliere; pali e sbarre per un allenamento in totale sicurezza; e un canestro posizionato su un'area pavimentata presso la quale è stata ricollocata la fontanella del giardino. In un’altra area invece ci si può divertire con il ping-pong.",piazza centa; via francesco ambrosi,,,,parco / giardino
Giardino di Maso Ginocchio,"Area giochi bimbi con sabbiera; molle; altalene; arrampicata; combinati
attrezzature per lo sport: pista pattinaggio / pallavolo
superficie 9.700 m2
microarea cani con fontana acqua potabile esterna nelle vicinanze.
Il giardino; sempre molto frequentato; è stato progettato e realizzato dall’Amministrazione comunale nella seconda metà degli anni Ottanta su sollecitazione degli abitanti del rione S. Pio X; che chiedevano più verde pubblico a disposizione del quartiere.Questa area verde accoglie una pista per il pattinaggio circondata da un boschetto di ciliegi; tanti giochi per i piccoli ed alcune strutture di arrampicata per i bambini più grandi; oltre che diversi comodi tavoli ombreggiati da pergole.È inoltre presente una microarea cani con vicina abbeverata. Dal giardino si accede al nido e alla scuola materna pubblica e l’area è vicina al complesso residenziale chiamato “Vaticano” (ex case Ina) di via Muredei; costruito negli anni ’50.",ingresso giardino da via veneto; via g. giusti; via monte baldo,,,,parco / giardino
Parco Enzo Tortora - ex Area prato grande,"Attrezzature: area giochi per bambini; campo beach volley; campo basket 
Inaugurato a novembre 2019 il parco in località “Prato Grande”; in viale Verona a Madonna Bianca è stato progettato insieme alla Provincia Autonoma di Trento per essere un’area verde inclusiva e accessibile; dove chiunque possa divertirsi a prescindere dall’abilità.Nel parco sono state realizzate due aree gioco: per il beach volley in sabbia e per il basket in asfalto rivestito da resina acrilica. I viali sono stati realizzati in asfalto decolorato; con inserti di piastrelle tattili in corrispondenza delle sedute e dei luoghi utili per una segnalazione ai non vedenti. Le aree di sosta sono state pavimentate in cubetti di porfido resinati.Le aree gioco per bambini sono due; pavimentate in modo da garantire l’accessibilità anche alle carrozzine; con giochi in acciaio e legno; raggruppati in base alla fascia di età degli utilizzatori.",viale verona località prato grande,,,,parco / giardino
Cortile scuola elementare Cadine,Campo da pallacanestro - utilizzo periodo extrascolastico,piazza della regola cadine,,,,parco / giardino
