Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
"Clm Bell ""Back to school"" a Mezzocorona - Open day venerdì 4 ottobre 2024",,var/mezzocorona/storage/images/turismo/calendario-eventi/clm-bell-back-to-school-a-mezzocorona-open-day-venerdi-4-ottobre-2024/443018-1-ita-IT/Clm-Bell-Back-to-school-a-Mezzocorona-Open-day-venerdi-4-ottobre-2024.jpg|,"La biblioteca propone Clm Bell &quot,Back to school&quot, open day a MezzocoronaPiazza della Cooperazione&nbsp,4 ottobre 2024 | ore 16 – 18.&nbsp,Accesso liberoIn inglese e tedesco:Per bambini festa&nbsp,“Back to school”&nbsp,con giochi, laboratori e attività varieInoltre per tutti:Test di LivelloInformazioni su corsi,&nbsp, certificazioni e soggiorni studio",,04/10/2024,04/10/2024,Dalle 16:00 alle 18:00,4 ottobre 2024,"Piazza della Cooperazione (Mezzocorona, TN)",,,,,,,,Evento singolo,,,,,,,
Testimonianze di vita e germogli di speranza: una proposta dalla Parrocchia di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/testimonianze-di-vita-e-germogli-di-speranza-una-proposta-dalla-parrocchia-di-mezzocorona/446508-1-ita-IT/Testimonianze-di-vita-e-germogli-di-speranza-una-proposta-dalla-Parrocchia-di-Mezzocorona.png|,"L'Arcidiocesi di Trento propone l'incontro &quot,Tutti fragili tutte persone, testimonianze di vita e germogli di speranza&quot,, il 14 novembre alle ore 20:30 presso il teatro San Gottardo a Mezzocorona, ove interverrà il vescovo Lauro in una serata moderata da Rolando Pizzini. Durante la giornata mondiale dei poveri, con la collaborazone del Grazie alla vita filodrammatica Mezzocorona.",www.comune.mezzocorona.tn.it/content/download/48408/446510/locandina (02 ottobre 2024) (2).pdf,14/11/2024,,,Il 14 novembre ore 20:30,Teatro San Gottardo Mezzocorona,,,,,,,,Evento singolo,,,,,,,
La SAT-sezione di Mezzocorona propone il pranzo di chiusura e un'escursione a Favogna,,var/mezzocorona/storage/images/turismo/calendario-eventi/la-sat-sezione-di-mezzocorona-propone-il-pranzo-di-chiusura-e-un-escursione-a-favogna/446533-1-ita-IT/La-SAT-sezione-di-Mezzocorona-propone-il-pranzo-di-chiusura-e-un-escursione-a-Favogna.png|,Per info vedere l'immmagine allegata.,,17/11/2024,,6 ore e mezza,17/11/24,Favogna,,,,,,,,Evento singolo,,S.A.T. sezione Mezzocorona,,,,,
"Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna, in biblioteca",,var/mezzocorona/storage/images/turismo/calendario-eventi/tra-le-pagine-una-passeggiata-dentro-ai-libri-di-beatrice-alemagna-in-biblioteca2/446710-1-ita-IT/Tra-le-pagine-una-passeggiata-dentro-ai-libri-di-Beatrice-Alemagna-in-biblioteca.jpg|,"Nell'ambito del progetto &quot,Immagini per crescere&quot, coordinato dal Comune di Lavis e dal Distretto Piana Rotaliana Koenigsberg, la biblioteca di Mezzocorona propone la mostra:&quot,Tra le pagine, una passeggiata dentro ai libri di Beatrice Alemagna&quot,.La mostra è aperta in orario di apertura della biblioteca dal 6 al 27 novembre 2024.Beatrice Alemagna è uno dei nomi più prestigiosi del mondo dell’illustrazione di libri per ragazzi. Artista apprezzata e pluripremiata a livello internazionale, autrice di oltre 30 libri, molti di questi pubblicati in diversi paesi e tradotti in 16 lingue. La mostra delinea un percorso avvincente fra le magnifiche immagini dei pannelli di grande formato e alcuni oggetti particolarmente significativi, ricreando l’universo dell’artista.L’ allestimento scenografico immersivo, visivo e sensoriale, ripercorre le pagine della storia amatissima “Il meraviglioso Cicciapelliccia”.Per ulteriori informazioni si visiti il sito:Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna | TopipittoriIl modulo esposto nella sede di Mezzocorona è riferito al libro &quot,Il meraviglioso Cicciapelliccia&quot, (ed. Topipittori 2015)Un'altra sezione della mostra di Beatrice Alemagna, relativa al libro &quot,Un grande giorno di Niente&quot, (ed. Topipittori2016) è esposta nello stesso periodo presso la biblioteca di Mezzolombardo (in orario di consueta apertura).- Il meraviglioso Cacciapelliccia (ed. Topipittori2016), nella biblioteca di Mezzocorona dal 6 al 27 novembre. (in orario di consueta apertura)&nbsp,",www.comune.mezzocorona.tn.it/content/download/48425/446712/mostra_Alemagna_2.0.pdf,06/11/2024,08/11/2024,6-27 Novembre,Esclusi i festivi in orario di consueta apertura,Biblioteca di Mezzolombardo e Mezzocorona,,,,,,,,Evento singolo,,,,,,,
"Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna, in biblioteca",,var/mezzocorona/storage/images/turismo/calendario-eventi/tra-le-pagine-una-passeggiata-dentro-ai-libri-di-beatrice-alemagna-in-biblioteca/446735-1-ita-IT/Tra-le-pagine-una-passeggiata-dentro-ai-libri-di-Beatrice-Alemagna-in-biblioteca.jpg|,"Nell'ambito del progetto &quot,Immagini per crescere&quot, coordinato dal Comune di Lavis e dal Distretto Piana Rotaliana Koenigsberg, la biblioteca di Mezzocorona propone la mostra:&quot,Tra le pagine, una passeggiata dentro ai libri di Beatrice Alemagna&quot,.La mostra è aperta in orario di apertura della biblioteca dal 6 al 27 novembre 2024.Beatrice Alemagna è uno dei nomi più prestigiosi del mondo dell’illustrazione di libri per ragazzi. Artista apprezzata e pluripremiata a livello internazionale, autrice di oltre 30 libri, molti di questi pubblicati in diversi paesi e tradotti in 16 lingue. La mostra delinea un percorso avvincente fra le magnifiche immagini dei pannelli di grande formato e alcuni oggetti particolarmente significativi, ricreando l’universo dell’artista.L’ allestimento scenografico immersivo, visivo e sensoriale, ripercorre le pagine della storia amatissima “Il meraviglioso Cicciapelliccia”.Per ulteriori informazioni si visiti il sito:Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna | TopipittoriIl modulo esposto nella sede di Mezzocorona è riferito al libro &quot,Il meraviglioso Cicciapelliccia&quot, (ed. Topipittori 2015)Un'altra sezione della mostra di Beatrice Alemagna, relativa al libro &quot,Un grande giorno di Niente&quot, (ed. Topipittori2016) è esposta nello stesso periodo presso la biblioteca di Mezzolombardo (in orario di consueta apertura).- Il meraviglioso Cacciapelliccia (ed. Topipittori2016), nella biblioteca di Mezzocorona dal 6 al 27 novembre. (in orario di consueta apertura)&nbsp,",www.comune.mezzocorona.tn.it/content/download/48426/446737/mostra_Alemagna_2.0.pdf,11/11/2024,15/11/2024,6-27 Novembre,Esclusi i festivi in orario di consueta apertura,Biblioteca di Mezzolombardo e Mezzocorona,,,,,,,,Evento singolo,,,,,,,
"ra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna, in biblioteca",,var/mezzocorona/storage/images/turismo/calendario-eventi/ra-le-pagine-una-passeggiata-dentro-ai-libri-di-beatrice-alemagna-in-biblioteca/446760-1-ita-IT/ra-le-pagine-una-passeggiata-dentro-ai-libri-di-Beatrice-Alemagna-in-biblioteca.jpg|,"Nell'ambito del progetto &quot,Immagini per crescere&quot, coordinato dal Comune di Lavis e dal Distretto Piana Rotaliana Koenigsberg, la biblioteca di Mezzocorona propone la mostra:&quot,Tra le pagine, una passeggiata dentro ai libri di Beatrice Alemagna&quot,.La mostra è aperta in orario di apertura della biblioteca dal 6 al 27 novembre 2024.Beatrice Alemagna è uno dei nomi più prestigiosi del mondo dell’illustrazione di libri per ragazzi. Artista apprezzata e pluripremiata a livello internazionale, autrice di oltre 30 libri, molti di questi pubblicati in diversi paesi e tradotti in 16 lingue. La mostra delinea un percorso avvincente fra le magnifiche immagini dei pannelli di grande formato e alcuni oggetti particolarmente significativi, ricreando l’universo dell’artista.L’ allestimento scenografico immersivo, visivo e sensoriale, ripercorre le pagine della storia amatissima “Il meraviglioso Cicciapelliccia”.Per ulteriori informazioni si visiti il sito:Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna | TopipittoriIl modulo esposto nella sede di Mezzocorona è riferito al libro &quot,Il meraviglioso Cicciapelliccia&quot, (ed. Topipittori 2015)Un'altra sezione della mostra di Beatrice Alemagna, relativa al libro &quot,Un grande giorno di Niente&quot, (ed. Topipittori2016) è esposta nello stesso periodo presso la biblioteca di Mezzolombardo (in orario di consueta apertura).- Il meraviglioso Cacciapelliccia (ed. Topipittori2016), nella biblioteca di Mezzocorona dal 6 al 27 novembre. (in orario di consueta apertura)&nbsp,",www.comune.mezzocorona.tn.it/content/download/48427/446762/mostra_Alemagna_2.0.pdf,18/11/2024,22/11/2024,6-27 Novembre,Esclusi i festivi in orario di consueta apertura,Biblioteca di Mezzolombardo e Mezzocorona,,,,,,,,Evento singolo,,,,,,,
"Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna, in biblioteca",,var/mezzocorona/storage/images/turismo/calendario-eventi/tra-le-pagine-una-passeggiata-dentro-ai-libri-di-beatrice-alemagna-in-biblioteca3/446785-1-ita-IT/Tra-le-pagine-una-passeggiata-dentro-ai-libri-di-Beatrice-Alemagna-in-biblioteca.jpg|,"Nell'ambito del progetto &quot,Immagini per crescere&quot, coordinato dal Comune di Lavis e dal Distretto Piana Rotaliana Koenigsberg, la biblioteca di Mezzocorona propone la mostra:&quot,Tra le pagine, una passeggiata dentro ai libri di Beatrice Alemagna&quot,.La mostra è aperta in orario di apertura della biblioteca dal 6 al 27 novembre 2024.Beatrice Alemagna è uno dei nomi più prestigiosi del mondo dell’illustrazione di libri per ragazzi. Artista apprezzata e pluripremiata a livello internazionale, autrice di oltre 30 libri, molti di questi pubblicati in diversi paesi e tradotti in 16 lingue. La mostra delinea un percorso avvincente fra le magnifiche immagini dei pannelli di grande formato e alcuni oggetti particolarmente significativi, ricreando l’universo dell’artista.L’ allestimento scenografico immersivo, visivo e sensoriale, ripercorre le pagine della storia amatissima “Il meraviglioso Cicciapelliccia”.Per ulteriori informazioni si visiti il sito:Tra le pagine: una passeggiata dentro ai libri di Beatrice Alemagna | TopipittoriIl modulo esposto nella sede di Mezzocorona è riferito al libro &quot,Il meraviglioso Cicciapelliccia&quot, (ed. Topipittori 2015)Un'altra sezione della mostra di Beatrice Alemagna, relativa al libro &quot,Un grande giorno di Niente&quot, (ed. Topipittori2016) è esposta nello stesso periodo presso la biblioteca di Mezzolombardo (in orario di consueta apertura).- Il meraviglioso Cacciapelliccia (ed. Topipittori2016), nella biblioteca di Mezzocorona dal 6 al 27 novembre. (in orario di consueta apertura)&nbsp,",www.comune.mezzocorona.tn.it/content/download/48428/446787/mostra_Alemagna_2.0.pdf,25/11/2024,27/11/2024, 6-27 Novembre,Esclusi i festivi in orario di consueta apertura,Biblioteca di Mezzolombardo e Mezzocorona,,,,,,,,Evento singolo,,,,,,,
A spasso tra le pagine con Cicciapelliccia,,var/mezzocorona/storage/images/turismo/calendario-eventi/a-spasso-tra-le-pagine-con-cicciapelliccia/446810-1-ita-IT/A-spasso-tra-le-pagine-con-Cicciapelliccia.jpg|,"Durante la settimana Nati per leggere la biblioteca di Mezzocorona propone delle letture animate per bambini/e dai 2 ai 6 anni, a partire da &quot,Il meraviglioso Cacciapelliccia&quot, di Beatrice Alemagna. Iscrizione non necessaria.&nbsp,La visita si svolge nell'ambito dell'iniziativa &quot,Immagini per crescere&quot,.",www.comune.mezzocorona.tn.it/content/download/48429/446812/Mezzocorona NPL.pdf,19/11/2024,19/11/2024,,Martedì 19 novembre,Biblioteca di Mezzocorona,,,,,,,,Evento singolo,,,,,,,
"Inaugurazione mostra ""Tra le pagine: il meraviglioso Cacciapelliccia, una passeggiata dentro i libri di Beatrice Alemagna""",,var/mezzocorona/storage/images/turismo/calendario-eventi/inaugurazione-mostra-tra-le-pagine-il-meraviglioso-cacciapelliccia-una-passeggiata-dentro-i-libri-di-beatrice-alemagna/446835-2-ita-IT/Inaugurazione-mostra-Tra-le-pagine-il-meraviglioso-Cacciapelliccia-una-passeggiata-dentro-i-libri-di-Beatrice-Alemagna.jpg|,"La biblioteca di Mezzocorona propone l'inaugurazione della mostra&nbsp,&quot,Tra le pagine: il meraviglioso Cacciapelliccia, una passeggiata dentro i libri di Beatrice Alemagna&quot,, venerdì 8 alle ore 16:00 con una lettura animata ed una passeggiata fiabesca alla scoperta del meraviglioso Cacciapelliccia. La mostra presso la sala mansarda della biblioteca di Mezzocorona.",www.comune.mezzocorona.tn.it/content/download/48430/446837/mostra_Alemagna_2.0.pdf,08/11/2024,,,,Biblioteca di Mezzocorona - sala mansarda,,,,,,,,Evento singolo,,,,,,,
Caccia ai tesori di palazzo Firmian a cura della biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/caccia-ai-tesori-di-palazzo-firmian-a-cura-della-biblioteca/446860-1-ita-IT/Caccia-ai-tesori-di-palazzo-Firmian-a-cura-della-biblioteca.jpg|,"La biblioteca propone una visita guidata al prestigioso palazzo Firmian a misura di bambini (4-10 anni): una caccia ai tesori fotografica, che permetterà ai partecipanti di acuire lo spirito di osservazione e di conoscere le opere d'arte seicentesche e settecentesche di cui il palazzo è dotato. La visita si svolge nell'ambito dell'iniziativa &quot,Immagini per crescere&quot,.La prenotazione è obbligatoria. Per info consultare la locandina allegata.",www.comune.mezzocorona.tn.it/content/download/48431/446862/gabbia (1).pdf,29/11/2024,29/11/2024,,29 novembre 2024,Palazzo Firmian,,,,,,,,Evento singolo,,,,,,,
